[INFO]  === Pre-flight checks ===
[INFO]  All input files found for 2 samples.
[INFO]  Output directory: /pastel/tools/circRNA_tools/test_data/decoupled_comparison
[INFO]  Joint pipeline: CIRI3_decoupled.jar (current source, -W 1)
[INFO]  Decoupled jar:  /pastel/Github_scripts/CIRI3/CIRI3_decoupled.jar
[INFO]  === Stage 0: ORIGINAL pipeline (CIRI3_Java_1.8.0.jar, -W 1, -Ma 1) ===
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=5 reads_seen=34751 reads_in_scan1IdMap=152 bsj_emitted=235
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=28 reads_seen=35498 reads_in_scan1IdMap=125 bsj_emitted=246
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=8 reads_seen=35795 reads_in_scan1IdMap=107 bsj_emitted=213
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=45 reads_seen=34661 reads_in_scan1IdMap=120 bsj_emitted=243
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=53 reads_seen=34772 reads_in_scan1IdMap=101 bsj_emitted=242
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=1 reads_seen=34599 reads_in_scan1IdMap=109 bsj_emitted=256
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=54 reads_seen=35634 reads_in_scan1IdMap=102 bsj_emitted=215
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=10 reads_seen=35641 reads_in_scan1IdMap=97 bsj_emitted=219
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=49 reads_seen=34909 reads_in_scan1IdMap=126 bsj_emitted=237
2026-04-20 20:25:01 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_1_S1/bwa.sam threadNum=25 reads_seen=34695 reads_in_scan1IdMap=124 bsj_emitted=230
